"id","name","location","description","avg_reading_speed","owner_id"
"12","SimonHardy's Club","Manchester","Facere reiciendis nam aperiam. Reprehenderit ipsam possimus tempora excepturi minima eveniet.
Quisquam molestias velit a quia inventore. Tempora dolores officiis.
Tenetur odio nam maxime ducimus facere. Nobis cumque ullam excepturi libero. Harum provident dolorum explicabo ipsam voluptatum.
Minima occaecati vel molestias labore. Odit pariatur veritatis velit.
Aspernatur aliquam et quam.
Exercitationem modi consectetur officia nulla eos deleniti. Facere et debitis natus magni quibusdam.","163","150234"
"13","ElliotReynolds's Club","Bristol","Minima exercitationem adipisci tenetur explicabo. Provident rem quia. Impedit voluptate perspiciatis illo.
Sapiente quaerat vitae voluptatem dolor. Voluptatibus odio cupiditate numquam provident ex a natus.
Dolores voluptatem ipsam fugit animi esse qui. Architecto voluptates mollitia id maxime nesciunt temporibus. Culpa reprehenderit cum dignissimos porro consequatur eum.
Earum blanditiis corporis aliquid quo corrupti pariatur. Non ea placeat quae beatae.","472","71615"
"14","AlexGardner's Club","USA","Quod quasi labore quas itaque dicta. Pariatur reiciendis quis quia. Adipisci incidunt nam.
Quia facilis laudantium accusantium. Nam reprehenderit dolorum ipsa quidem repellat sunt. Natus ipsa exercitationem ea laudantium numquam esse.
Modi ipsum eaque quia. Culpa asperiores dolorum voluptate mollitia quis eum. Quod dolore quas omnis in fuga vitae eos.","440","247904"
"15","ShaneBradley's Club","Birmingham","Facilis voluptate adipisci beatae eius debitis. Ut totam aliquam error dolorum perspiciatis quibusdam fugit. Beatae dolorem voluptatem qui soluta rem.
Architecto eaque sit reprehenderit accusantium necessitatibus. Eveniet amet explicabo soluta sapiente. Velit doloremque dicta veritatis.
Quod et quo dolorem iusto impedit blanditiis porro. Ipsum aperiam ullam architecto nemo molestias vero.
Sequi eligendi odio aperiam illo autem. Rerum numquam praesentium earum qui qui neque earum.","307","102740"
"16","GrahamPrice's Club","Brighton","Voluptatem quam similique tenetur. Porro provident id numquam minus minima nemo sint.
Fugit exercitationem in magnam. Officiis cum ducimus voluptatibus nisi repellat atque ea.
Nesciunt unde distinctio laudantium hic. Blanditiis porro corporis magnam dolore ipsum.
Atque dolorum suscipit molestias doloremque esse. Assumenda laborum ut in veniam.
Dolorum quidem tenetur cumque porro praesentium aspernatur accusamus. Eum facilis ipsam inventore quo aspernatur. Eligendi voluptate deleniti iusto itaque odit nam.","129","84944"
"17","ClaireNoble's Club","Brighton","Deleniti delectus minima explicabo. Similique ex nulla suscipit sed. Nobis rem illo odio animi temporibus.
Impedit aliquam magni omnis. Tenetur at nisi ut minus odit. Ipsum tempora dignissimos illo commodi expedita.
Facere nulla vel provident. Cum adipisci earum accusamus ratione accusantium.
Possimus consectetur quas eum consequatur sint sit.
Autem ipsam sunt est facilis.
Nam quibusdam placeat neque reiciendis.","354","105975"
"18","FrankAdams's Club","Manchester","Unde necessitatibus nulla adipisci. Minima fugit impedit incidunt qui optio. Aut sapiente officiis ipsum.
Voluptatem voluptatibus accusantium quae eos. Perspiciatis eius amet. Ab officia excepturi suscipit ea aut.
Minima ducimus sit veritatis. Doloremque quis at eaque asperiores. Perspiciatis quaerat minus minus. Cumque commodi quae pariatur et.
Ipsum ullam quaerat necessitatibus. Aliquam ipsa fugit.","482","266910"
"19","BarbaraHewitt's Club","Brighton","Odio inventore nobis amet labore hic. Quidem reprehenderit explicabo at. Consequuntur repellat ipsam dolor.
Maxime sed tempore enim neque repudiandae incidunt. Dolorem error fuga ad eveniet perferendis. Vel alias assumenda maiores incidunt quod reiciendis.
Fugiat aut ullam voluptatem. Minus a sit. Tenetur quos voluptatem ad expedita.
Sequi maiores ab rem consectetur. Soluta sapiente eligendi libero nam quidem. Sunt voluptatem ea asperiores.","221","166403"
"20","PhillipMills's Club","London","Sunt laboriosam corporis vero accusamus. Ipsam dignissimos quasi nam autem eligendi.
Repellendus laudantium asperiores corrupti ipsum. Ad debitis quibusdam architecto aliquam laborum.
Officiis nisi perspiciatis minus eligendi animi quidem distinctio. Dolore libero aspernatur enim.
Cum aspernatur sapiente officia. Nemo ratione fugit odio natus ad voluptatum. Similique velit vero excepturi.
Sit sint aperiam exercitationem est dolor incidunt. Quo placeat quam nobis necessitatibus adipisci.","231","175765"
"21","SandraNewman's Club","Brighton","Cumque laboriosam laboriosam possimus non. Beatae illum laboriosam nihil quam quidem.
Ducimus architecto magni totam. Ex adipisci alias iure distinctio omnis odio. Tenetur magnam reiciendis corrupti repellendus asperiores aut.
Illo optio blanditiis quas explicabo. Accusamus nihil accusamus architecto aliquam laborum. Neque dolor optio perspiciatis tempore.
Quo totam quisquam quasi nisi. Cumque perferendis ea alias doloremque. Qui dolore corporis magnam laborum nisi suscipit. Architecto reprehenderit neque quidem.","468","110742"
