id,role_num,club_id,user_id
1,3,496,8609
2,3,246,257542
3,2,437,127590
4,3,279,243973
5,3,256,81425
6,1,334,30205
7,2,319,264284
8,2,316,80947
9,2,177,177874
10,2,217,270465
11,1,428,237027
12,2,184,4096
13,2,196,151818
14,3,88,19261
15,1,338,95489
16,2,237,127584
17,1,193,74797
18,1,116,277518
19,1,357,14951
20,3,33,83051
21,1,309,187393
22,1,408,171653
23,1,409,57934
24,1,412,51061
25,2,401,80077
26,3,18,251409
27,3,398,208197
28,1,347,214386
29,3,111,53841
30,3,378,165389
31,3,271,224693
32,2,83,276048
33,3,372,26671
34,2,143,121547
35,3,413,182116
36,3,254,98882
37,1,86,66266
38,1,327,107912
39,1,375,228168
40,1,157,246967
41,3,243,271040
42,2,221,170320
43,1,315,59850
44,2,298,106666
45,3,490,159353
46,2,146,172083
47,2,213,124592
48,2,40,47065
49,2,278,99128
50,2,182,117324
51,1,348,117016
52,2,381,184068
53,3,496,200600
54,1,438,251309
55,3,194,46891
56,3,115,119625
57,1,68,178546
58,1,244,40964
59,1,84,260053
60,3,144,168845
61,1,292,252534
62,2,94,236548
63,1,380,47321
64,2,355,62234
65,1,286,248047
66,2,241,69940
67,2,481,73342
68,1,451,18548
69,3,226,28622
70,1,76,98017
71,2,149,84435
72,2,475,107224
73,1,490,170448
74,1,253,145046
75,1,432,123143
76,2,271,12678
77,3,296,104883
78,2,368,134318
79,3,345,126968
80,1,356,93629
81,3,426,175179
82,3,425,240720
83,2,263,13882
84,3,86,93014
85,1,303,41464
86,3,394,69472
87,1,37,203594
88,2,254,230095
89,1,307,126788
90,2,305,203558
91,1,226,232778
92,2,7,1086
93,3,98,28770
94,2,347,58427
95,2,162,175892
96,1,453,40236
97,2,79,42316
98,3,21,273083
99,2,102,259977
100,2,431,221127
101,2,51,102289
102,1,168,152747
103,3,191,44999
104,1,151,36282
105,2,366,33599
106,1,437,99892
107,3,59,124287
108,1,100,6248
109,3,32,129057
110,2,300,192099
111,2,184,189284
112,2,219,67644
113,2,182,117046
114,2,413,24321
115,3,323,81663
116,3,131,59013
117,1,415,85119
118,2,122,4910
119,1,288,172485
120,2,470,121509
121,2,87,131352
122,3,9,249064
123,3,411,92784
124,2,49,78673
125,3,261,268640
126,2,229,26397
127,2,10,153392
128,1,211,178749
129,1,275,176237
130,2,452,46578
131,3,425,17899
132,1,105,144079
133,1,94,247778
134,1,179,63952
135,3,78,43839
136,3,158,169834
137,1,84,185024
138,2,427,49955
139,3,398,219328
140,3,277,227623
141,1,487,40756
142,1,159,146839
143,2,301,230974
144,1,328,276186
145,3,160,77186
146,3,244,271890
147,1,71,90976
148,1,80,276565
149,3,220,164193
150,2,133,196055
151,2,417,120093
152,3,414,99957
153,2,217,230811
154,2,351,122663
155,1,260,99210
156,2,161,252474
157,3,321,204698
158,3,47,190964
159,2,429,259886
160,2,215,207865
161,1,177,251766
162,3,412,133225
163,3,139,45321
164,2,271,270597
165,3,214,231329
166,1,398,65276
167,2,250,77430
168,1,134,22758
169,2,347,20981
170,1,76,246937
171,2,86,51629
172,2,63,132940
173,3,55,31384
174,2,366,25117
175,1,246,47506
176,2,50,11139
177,3,389,162585
178,1,231,105948
179,3,269,29630
180,3,387,134434
181,2,137,183086
182,1,137,27053
183,3,325,125880
184,1,310,96828
185,1,17,229021
186,3,288,60648
187,3,257,134890
188,1,2,12717
189,1,108,179783
190,1,63,122055
191,3,119,613
192,2,483,40393
193,1,485,250423
194,2,421,182116
195,3,348,115305
196,2,201,119771
197,3,206,89073
198,3,303,9726
199,2,24,15820
200,1,145,154442
201,2,275,145389
202,1,230,198199
203,1,413,83542
204,3,200,75527
205,3,196,90040
206,1,268,95425
207,3,131,2491
208,3,18,8166
209,3,443,152082
210,3,489,166701
211,2,289,258328
212,3,441,71576
213,3,190,66117
214,3,131,104403
215,3,401,27807
216,3,127,208326
217,2,28,175914
218,3,1,242489
219,1,359,179287
220,1,287,155374
221,3,104,226485
222,1,78,202753
223,3,421,94158
224,3,50,137907
225,1,208,275753
226,2,465,168029
227,2,473,274272
228,1,148,148920
229,1,241,268528
230,1,282,236351
231,3,343,65240
232,2,452,32850
233,3,276,175987
234,1,15,61043
235,2,47,32396
236,3,11,120305
237,2,463,64909
238,1,238,54744
239,3,408,17814
240,1,65,17741
241,3,429,245475
242,2,245,100918
243,2,222,203728
244,3,299,91516
245,3,80,179869
246,1,353,61706
247,3,387,188836
248,2,149,98606
249,1,175,89029
250,1,410,95815
251,3,301,198199
252,3,302,261372
253,3,330,248227
254,3,427,262465
255,1,101,124756
256,2,47,180276
257,2,382,224745
258,1,389,32531
259,1,264,188267
260,1,135,251001
261,2,343,174649
262,1,209,167826
263,1,309,196268
264,2,475,113200
265,2,226,209820
266,2,374,277115
267,1,200,162033
268,2,377,211894
269,1,410,275760
270,3,428,224720
271,1,382,218017
272,3,372,35894
273,2,85,275452
274,2,20,254966
275,1,107,90201
276,3,217,157269
277,1,383,211575
278,3,244,10770
279,3,466,243025
280,2,364,91879
281,1,435,121447
282,3,366,37368
283,3,416,45448
284,3,232,28720
285,3,364,81112
286,2,242,19304
287,3,393,13826
288,1,391,50724
289,3,227,136958
290,2,422,51924
291,2,6,184955
292,1,246,215927
293,1,263,5548
294,3,335,149618
295,2,284,114829
296,3,13,113840
297,3,81,105238
298,2,470,19642
299,2,439,271352
300,1,287,86335
301,1,381,264501
302,2,216,150908
303,1,110,180499
304,3,81,36446
305,3,87,43026
306,3,453,251924
307,2,412,82998
308,2,312,62910
309,3,278,105002
310,3,15,145198
311,2,69,214752
312,1,62,79770
313,3,484,144227
314,3,290,163095
315,1,73,140002
316,1,241,25257
317,1,158,264105
318,1,432,56018
319,1,413,138071
320,2,251,15935
321,3,140,196912
322,3,451,167586
323,1,246,4593
324,2,411,148693
325,1,70,188218
326,3,249,155268
327,2,238,114537
328,2,267,204540
329,3,429,63907
330,2,13,161236
331,2,288,135342
332,2,374,254555
333,3,341,73160
334,3,125,222146
335,3,188,55512
336,2,251,195204
337,3,350,83534
338,3,495,250575
339,1,437,172914
340,1,120,42610
341,1,205,239888
342,3,367,12715
343,3,46,100975
344,3,439,248439
345,2,434,133761
346,3,437,217643
347,3,33,239675
348,2,165,262850
349,2,72,86738
350,3,340,268297
351,3,265,97166
352,2,376,51212
353,1,106,23572
354,3,171,115404
355,2,254,267088
356,1,100,256916
357,3,454,65622
358,3,270,44804
359,1,215,7365
360,2,304,164598
361,2,498,2058
362,1,38,145082
363,3,381,236801
364,2,473,111049
365,2,117,50738
366,1,342,253970
367,1,259,156638
368,1,71,91099
369,2,22,225875
370,3,480,247760
371,1,414,24856
372,1,8,48516
373,2,158,81599
374,1,356,53183
375,1,385,135498
376,3,259,270486
377,1,21,75245
378,2,349,75250
379,1,482,96779
380,2,252,2687
381,1,398,4461
382,3,261,108779
383,1,471,171330
384,1,64,75786
385,1,136,167766
386,3,370,277450
387,3,312,148489
388,3,67,38060
389,1,376,103269
390,3,362,69106
391,2,311,223471
392,1,137,232279
393,1,276,120093
394,1,311,94693
395,2,40,275285
396,3,99,159814
397,1,77,214386
398,1,66,104469
399,2,147,207309
400,1,258,108897
401,3,370,7713
402,3,190,126499
403,1,29,237821
404,1,16,129668
405,2,26,147754
406,3,394,32048
407,3,79,99973
408,2,290,53680
409,3,1,139953
410,2,170,163468
411,2,91,23496
412,2,430,41536
413,1,349,69139
