"id","book_id","club_id"
"1","198","1"
"2","33","1"
"3","487","1"
"4","440","1"
"5","481","1"
"6","149","2"
"7","274","2"
"8","358","2"
"9","478","2"
"10","333","2"
"11","196","3"
"12","298","3"
"13","38","3"
"14","19","3"
"15","287","3"
"16","205","4"
"17","144","4"
"18","175","4"
"19","371","4"
"20","42","4"
"21","486","5"
"22","467","5"
"23","123","5"
"24","390","5"
"25","291","5"
"26","232","6"
"27","117","6"
"28","318","6"
"29","391","6"
"30","121","6"
"31","262","7"
"32","426","7"
"33","123","7"
"34","322","7"
"35","109","7"
"36","109","8"
"37","370","8"
"38","323","8"
"39","312","8"
"40","498","8"
"41","151","9"
"42","408","9"
"43","39","9"
"44","418","9"
"45","320","9"
"46","289","10"
"47","108","10"
"48","331","10"
"49","421","10"
"50","131","10"
