"id","role_num","club_id","user_id"
"1","3","2","207351"
"2","1","2","241265"
"3","3","1","11909"
"4","2","5","31325"
"5","1","4","249795"
"6","3","3","148430"
"7","2","6","72722"
"8","1","8","54487"
"9","2","1","67213"
"10","1","9","242027"
"11","1","10","169509"
"12","3","10","109190"
"13","1","4","196759"
"14","2","8","246569"
"15","2","10","258342"
"16","3","6","125907"
"17","2","3","79159"
"18","1","3","120346"
"19","2","5","262773"
"20","2","1","23434"
"21","3","9","247351"
"22","2","8","25765"
"23","3","2","52318"
"24","3","4","65828"
"25","1","8","215426"
"26","2","2","100460"
"27","3","3","67999"
"28","1","7","175924"
"29","1","3","107170"
"30","2","3","8706"
"31","1","6","128994"
"32","1","6","231447"
"33","1","2","43497"
"34","1","6","159662"
"35","1","7","75911"
"36","2","3","205362"
"37","2","8","231775"
"38","1","8","39275"
"39","2","4","161250"
"40","2","1","265037"
"41","1","5","176059"
"42","1","8","147233"
"43","1","4","246569"
"44","1","2","82794"
"45","2","4","175095"
"46","2","4","125461"
"47","2","8","35301"
"48","3","10","237226"
"49","2","2","33956"
"50","3","6","21480"
"51","2","6","234739"
"52","1","6","142448"
"53","2","6","88058"
"54","3","3","239694"
"55","3","3","63319"
"56","2","5","44987"
"57","1","5","124881"
"58","1","8","45304"
"59","3","9","236244"
"60","3","6","8746"
"61","3","2","272312"
"62","2","7","51695"
"63","2","2","13260"
"64","1","8","79863"
"65","1","6","261638"
"66","2","10","93388"
"67","1","9","16716"
"68","2","3","161291"
"69","3","7","36865"
"70","1","1","272516"
"71","2","8","70585"
"72","3","5","79863"
"73","2","8","242322"
"74","2","3","185937"
"75","1","6","255048"
"76","2","10","3390"
"77","1","4","190294"
"78","2","2","33572"
"79","3","1","261638"
"80","1","10","163151"
"81","1","10","109049"
"82","2","3","245802"
"83","3","5","124881"
"84","1","9","141689"
"85","1","1","29160"
"86","2","8","13989"
"87","2","8","158174"
"88","1","2","237226"
"89","1","2","91731"
"90","3","4","72779"
"91","3","8","88480"
"92","2","6","85947"
"93","1","4","29231"
"94","2","3","205099"
"95","2","6","23434"
"96","1","5","117434"
"97","3","5","11909"
"98","2","9","262773"
"99","2","6","214054"
"100","2","4","270780"
"101","3","9","83586"
"102","1","8","43497"
"103","2","2","190402"
"104","2","1","175905"
"105","1","4","150749"
"106","2","2","153637"
"107","1","7","152276"
"108","1","2","158174"
"109","2","3","70758"
"110","2","7","116635"
"111","1","1","234927"
"112","1","2","35301"
"113","1","3","116342"
"114","2","8","244947"
"115","1","5","74671"
"116","3","2","224260"
"117","2","2","185348"
"118","2","7","82174"
"119","1","4","52109"
"120","1","4","2391"
"121","2","5","46107"
"122","2","8","43497"
"123","2","9","62446"
"124","2","4","217681"
"125","2","3","7862"
"126","2","1","25765"
"127","3","9","54809"
"128","3","10","244108"
"129","1","3","72673"
"130","3","7","251101"
"131","3","1","57890"
"132","3","3","216085"
