"id","name","location","description","avg_reading_speed","owner_id"
"1","SarahMatthews's Club","Adelaide, Australia","Iusto repellat inventore nihil reiciendis. Distinctio rem reprehenderit voluptates.
Consectetur modi repellendus delectus necessitatibus. Inventore omnis reprehenderit perferendis dignissimos dicta.
Dolore magnam eum rerum. Aliquid quae dolorem eum expedita neque.
Sapiente debitis quos pariatur.
Dolor quibusdam omnis blanditiis. Expedita corrupti nostrum nesciunt necessitatibus.
Illo ratione eius animi.
Ipsum dicta expedita aliquid ratione expedita quia. Impedit dolorum ipsam. Facilis eius quod porro autem aut.","364","271772"
"2","HelenGray's Club","Tokyo, Japan","Dolor assumenda error soluta esse maiores. Consectetur possimus culpa ex quam sapiente perferendis officiis.
Vero et voluptatibus. Laudantium minima velit vitae. Quasi alias optio blanditiis.
Deleniti quis beatae repellendus enim id temporibus ea. Sint illo doloremque atque amet repellat. Enim quas eligendi quos sapiente asperiores sapiente nihil.
Minus deserunt doloremque commodi suscipit. Quidem autem exercitationem quidem accusantium voluptatum minima. Magni nemo soluta quos ratione.","333","35729"
"3","RhysNicholson's Club","Sao Paulo, Brazil","Commodi a debitis beatae repellat sunt nesciunt. Quia consequatur nisi dignissimos voluptate.
Repellat laboriosam culpa aliquam dolore consequatur. Minima tenetur voluptatibus consequuntur itaque quam molestiae. Incidunt vitae nemo provident consectetur.
Architecto laborum veniam tempora. Recusandae voluptates hic dolor ex. Neque eveniet ipsum ipsum voluptate similique. Omnis deserunt facilis accusamus.
Nihil veniam ut recusandae. Provident rerum iste nulla quasi quibusdam soluta.","79","68227"
"4","KarenQuinn's Club","Luxor, Egypt","Sed dolorum in totam ad dolore. Magnam cum ea suscipit.
Doloremque hic iure molestiae. Odit veritatis dolorum nostrum fugiat. Excepturi inventore quo tempora tempore. Tempora optio eum velit explicabo voluptas.
Culpa voluptate asperiores quod illum. Impedit corrupti molestiae iure rem omnis. Tenetur quos provident cum ut commodi nesciunt. Nulla voluptas suscipit temporibus iste tenetur.
Nulla illum ut ipsum possimus at molestiae. Doloribus nemo accusantium vero laborum ex.","384","209308"
"5","CameronHarvey's Club","Sharm El Sheikh, Egypt","Et rem saepe aperiam voluptatum. In nam repellat similique dignissimos aperiam.
Itaque et earum doloremque consectetur labore. Vitae commodi quis excepturi sequi omnis ea.
Nam fugit quos. Fugit recusandae nisi atque. Placeat ea minima.
Repellat occaecati similique quam. Quasi hic quidem nostrum ex. Assumenda doloribus eveniet numquam ipsum.
Aut harum repellat eum vel inventore maxime. Ipsum voluptatibus optio esse qui.","169","20365"
"6","ArthurShepherd's Club","Ottawa, Canada","Eius labore dicta quaerat.
Assumenda necessitatibus velit ipsa voluptates aliquid. Mollitia repudiandae explicabo a accusamus. Eos commodi minima repellendus ipsa nihil eaque. Dolores atque amet ipsam.
Cum ea quos cupiditate molestias aut fuga quae. Molestias velit cupiditate magnam laudantium earum ipsum. Officia cumque sed ab recusandae tempore aspernatur nobis.
Dolores esse distinctio suscipit facere illum distinctio voluptate. Provident recusandae inventore dolorem dignissimos quo. Dignissimos doloremque eius.","316","78"
"7","FrancesPhillips's Club","Belo Horizonte, Brazil","Sequi eaque voluptates sit debitis. Cumque nihil necessitatibus ea fugiat. Quos a tempore labore distinctio ex. Non assumenda dolore eum modi.
Magni minus a voluptas ullam dolor. Voluptates nihil molestiae esse. Explicabo nesciunt cumque culpa velit.
Nemo magni dolorem explicabo atque voluptatum molestiae dolore. Provident voluptatem possimus accusamus nihil. Accusantium incidunt debitis dolore quas provident.","82","175684"
"8","SylviaFranklin's Club","Delhi, India","Asperiores debitis tenetur natus asperiores. At dolorum eveniet perferendis vitae voluptates.
Repudiandae magnam earum voluptate accusantium ratione dignissimos. Occaecati possimus pariatur voluptas.
Beatae sunt fugit modi fugiat dicta sapiente nobis. Voluptatem sapiente eos ratione.
Fugit facilis quo minus. Voluptate culpa consequatur sunt occaecati nihil placeat. Dolorem excepturi debitis repellendus repellat.","130","128231"
"9","GeorgeBryan's Club","Ibadan, Nigeria","Voluptatem tempora saepe itaque nostrum recusandae magnam. Laudantium odit atque ducimus laborum. Dolore quas blanditiis doloribus ipsum provident.
Eaque doloremque ab quidem ab incidunt laudantium accusantium. Nihil minus illo nihil. Sapiente reiciendis quae dolore ut.
Eum maiores occaecati itaque corrupti et voluptas. At fuga occaecati molestiae explicabo.","343","47409"
"10","CarolKing's Club","London, UK","Repellat iure sed reprehenderit amet similique.
Maxime rerum ducimus nisi quasi commodi. Repellat vero quia inventore minima.
Incidunt nobis nam. Necessitatibus ratione dignissimos similique.
Voluptate adipisci voluptatum aperiam vitae fugiat eius. Necessitatibus laudantium porro praesentium.
Consequuntur assumenda aperiam tempore. Laboriosam dignissimos eos. Veritatis id dolorum perferendis praesentium necessitatibus ipsum.","158","10319"
