"id","book_id","user_id"
"1","44","207351"
"2","185","207351"
"3","53","207351"
"4","257","207351"
"5","94","207351"
"6","346","241265"
"7","184","241265"
"8","232","241265"
"9","335","241265"
"10","417","241265"
"11","82","11909"
"12","362","11909"
"13","235","11909"
"14","72","11909"
"15","176","11909"
"16","105","31325"
"17","284","31325"
"18","314","31325"
"19","446","31325"
"20","157","31325"
"21","346","249795"
"22","458","249795"
"23","7","249795"
"24","421","249795"
"25","302","249795"
"26","215","148430"
"27","194","148430"
"28","84","148430"
"29","478","148430"
"30","169","148430"
"31","429","72722"
"32","163","72722"
"33","404","72722"
"34","467","72722"
"35","28","72722"
"36","30","54487"
"37","466","54487"
"38","31","54487"
"39","41","54487"
"40","409","54487"
"41","286","67213"
"42","460","67213"
"43","159","67213"
"44","119","67213"
"45","141","67213"
"46","270","242027"
"47","7","242027"
"48","499","242027"
"49","382","242027"
"50","274","242027"
"51","338","169509"
"52","41","169509"
"53","162","169509"
"54","261","169509"
"55","86","169509"
"56","49","109190"
"57","44","109190"
"58","449","109190"
"59","295","109190"
"60","281","109190"
"61","428","196759"
"62","206","196759"
"63","288","196759"
"64","12","196759"
"65","247","196759"
"66","1","246569"
"67","370","246569"
"68","116","246569"
"69","204","246569"
"70","348","246569"
"71","3","258342"
"72","434","258342"
"73","40","258342"
"74","437","258342"
"75","35","258342"
"76","283","125907"
"77","90","125907"
"78","435","125907"
"79","470","125907"
"80","125","125907"
"81","109","79159"
"82","363","79159"
"83","350","79159"
"84","110","79159"
"85","340","79159"
"86","127","120346"
"87","5","120346"
"88","180","120346"
"89","193","120346"
"90","443","120346"
"91","265","262773"
"92","348","262773"
"93","409","262773"
"94","322","262773"
"95","302","262773"
"96","335","23434"
"97","169","23434"
"98","303","23434"
"99","92","23434"
"100","221","23434"
"101","397","247351"
"102","53","247351"
"103","17","247351"
"104","130","247351"
"105","490","247351"
"106","57","25765"
"107","195","25765"
"108","329","25765"
"109","330","25765"
"110","414","25765"
"111","92","52318"
"112","404","52318"
"113","248","52318"
"114","67","52318"
"115","281","52318"
"116","446","65828"
"117","257","65828"
"118","178","65828"
"119","361","65828"
"120","471","65828"
"121","298","215426"
"122","6","215426"
"123","255","215426"
"124","371","215426"
"125","407","215426"
"126","272","100460"
"127","409","100460"
"128","222","100460"
"129","145","100460"
"130","172","100460"
"131","176","67999"
"132","320","67999"
"133","142","67999"
"134","455","67999"
"135","121","67999"
"136","260","175924"
"137","480","175924"
"138","266","175924"
"139","409","175924"
"140","489","175924"
"141","59","107170"
"142","31","107170"
"143","292","107170"
"144","323","107170"
"145","79","107170"
"146","61","8706"
"147","454","8706"
"148","206","8706"
"149","139","8706"
"150","20","8706"
"151","282","128994"
"152","90","128994"
"153","497","128994"
"154","4","128994"
"155","295","128994"
